1	2	Wow... Loved this place.
2	1	Crust is not good.
3	1	Not tasty and the texture was just nasty.
4	2	Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.
5	2	The selection on the menu was great and so were the prices.
6	1	Now I am getting angry and I want my damn pho.
7	1	Honeslty it didn't taste THAT fresh.)
8	1	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.
9	2	The fries were great too.
10	2	A great touch.
11	2	Service was very prompt.
12	1	Would not go back.
13	1	The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.
14	2	I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!
15	1	I was disgusted because I was pretty sure that was human hair.
16	1	I was shocked because no signs indicate cash only.
17	2	Highly recommended.
18	1	Waitress was a little slow in service.
19	1	This place is not worth your time, let alone Vegas.
20	1	did not like at all.
21	1	The Burrittos Blah!
22	2	The food, amazing.
23	2	Service is also cute.
24	2	I could care less... The interior is just beautiful.
25	2	So they performed.
26	2	That's right....the red velvet cake.....ohhh this stuff is so good.
27	1	- They never brought a salad we asked for.
28	2	This hole in the wall has great Mexican street tacos, and friendly staff.
29	1	Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.
30	1	The worst was the salmon sashimi.
31	2	Also there are combos like a burger, fries, and beer for 23 which is a decent deal.
32	1	This was like the final blow!
33	2	I found this place by accident and I could not be happier.
34	1	seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.
35	2	Overall, I like this place a lot.
36	2	The only redeeming quality of the restaurant was that it was very inexpensive.
37	2	Ample portions and good prices.
38	1	Poor service, the waiter made me feel like I was stupid every time he came to the table.
39	2	My first visit to Hiro was a delight!
40	1	Service sucks.
41	2	The shrimp tender and moist.
42	1	There is not a deal good enough that would drag me into that establishment again.
43	1	Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.
44	2	On a positive note, our server was very attentive and provided great service.
45	1	Frozen pucks of disgust, with some of the worst people behind the register.
46	2	The only thing I did like was the prime rib and dessert section.
47	1	It's too bad the food is so damn generic.
48	2	The burger is good beef, cooked just right.
49	2	If you want a sandwich just go to any Firehouse!!!!!
50	2	My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.
51	2	We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.
52	2	He came running after us when he realized my husband had left his sunglasses on the table.
53	2	Their chow mein is so good!
54	1	They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.
55	2	The portion was huge!
56	2	Loved it...friendly servers, great food, wonderful and imaginative menu.
57	1	The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.
58	1	Not much seafood and like 5 strings of pasta at the bottom.
59	2	The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.
60	1	The ripped banana was not only ripped, but petrified and tasteless.
61	1	At least think to refill my water before I struggle to wave you over for 10 minutes.
62	2	This place receives stars for their APPETIZERS!!!
63	2	The cocktails are all handmade and delicious.
64	2	We'd definitely go back here again.
65	2	We are so glad we found this place.
66	2	Great food and service, huge portions and they give a military discount.
67	2	Always a great time at Dos Gringos!
68	2	Update.....went back for a second time and it was still just as amazing
69	1	We got the food and apparently they have never heard of salt and the batter on the fish was chewy.
70	2	A great way to finish a great.
71	2	The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.
72	2	- Really, really good rice, all the time.
73	1	The service was meh.
74	1	It took over 30 min to get their milkshake, which was nothing more than chocolate milk.
75	1	I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.
76	1	The scallop dish is quite appalling for value as well.
77	1	2 times - Very Bad Customer Service !
78	2	The sweet potato fries were very good and seasoned well.
79	2	Today is the second time I've been to their lunch buffet and it was pretty good.
80	1	There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.
81	1	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.
82	1	walked in and the place smelled like an old grease trap and only 2 others there eating.
83	1	The turkey and roast beef were bland.
84	2	This place has it!
85	1	The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.
86	2	I love the Pho and the spring rolls oh so yummy you have to try.
87	1	The poor batter to meat ratio made the chicken tenders very unsatisfying.
88	2	All I have to say is the food was amazing!!!
89	2	Omelets are to die for!
90	2	Everything was fresh and delicious!
91	1	In summary, this was a largely disappointing dining experience.
92	2	It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.
93	1	Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!
94	2	Best breakfast buffet!!!
95	1	say bye bye to your tip lady!
96	1	We'll never go again.
97	2	Will be back again!
98	2	Food arrived quickly!
99	1	It was not good.
100	2	On the up side, their cafe serves really good food.
101	2	Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!
102	2	The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.
103	2	Best Buffet in town, for the price you cannot beat it.
104	2	I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.
105	2	This is one of the better buffets that I have been to.
106	2	So we went to Tigerlilly and had a fantastic afternoon!
107	2	The food was delicious, our bartender was attentive and personable AND we got a great deal!
108	2	The ambience is wonderful and there is music playing.
109	2	Will go back next trip out.
110	2	Sooooo good!!
111	1	REAL sushi lovers, let's be honest - Yama is not that good.
112	1	At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.
113	2	This is a really fantastic Thai restaurant which is definitely worth a visit.
114	2	Nice, spicy and tender.
115	2	Good prices.
116	2	Check it out.
